Product Name,Cost Price,Selling Price
سخان باكستاني,1.05,3
Ingco تست,0.55,1
Strip LED 10m 24v,9,12
Profil 3020,2.1,2.5
بريز ظاهر ADAF,0.52,1
Strip LED 5m 24v,4.5,7
سبوت ظاهر YGT 60x60,21,25
عداد مفرد Potric,5.75,9
Spot Frameless 36w ظاهر warm jaratt,4.5,6
حرامي طوي,1.25,2.5
كادر بلا شريط 5way,1.15,2.5
Gold LED Bulb 50w,2.7,5
دوي e14,0.3,0.8
جنكسيون طربوش 120,3,4
جنكسيون طربوش 95,2.35,3
جنكسيون طربوش 70,1.75,2.5
جنكسيون طربوش 50,1.35,2
مروحة عامود Crown,20,20
فيش ذكر مبسط وسط Sopoka,0.5,1
لمبة سنسر Bomba,2.25,4
مفك emtop 6x150,0.72,2
طقم طق طق YATO 20pcs,17.5,24
ميزان ابرة emtop,11.5,18
ميزان ديجيتال emtop,23,32
علبة electronic,1.15,2
ساعة حماية Potric,5,8
Konnice LED Bulb 30w QB3,1.75,3
MR16 LED Bulb Konnice,0.5,1
بلاك Orva,0.45,0.7
شاسيه Orva,0.36,0.6
سبوت مخفي 18w,1.25,3
Frameless Spot 36w Tiger,2.5,4
T9 60cm,1.7,3.5
orva بريز,0.62,0.85
Spot Frameless 48w YGT,6,8
LED G4,0.65,1
فيش ذكر خفيف Sopoka,0.3,0.55
حماية بريز,0.075,0.11
Spot Frameless 48W ظاهر YGT,7,9
مكنة برغش Akko Star 10w,10.5,14
مكنة برغش Akko Star 15w,12,17
مكنة برغش Akko Star 20w,13,20
مكنة برغش مستطيل Akko Star 20w,11,15
مكنة برغش مستطيل Akko Star 30w,13,18
مروحة حائط Crown,21,27
بريز Wifi,5,8
سبوت سنسر 20w,4.5,7
غلوب سنسر تركي 8,8,12
كوس انبوب 1,0.4,1
كوس انبوب 1.5,0.45,1
كوس انبوب 2.5,0.65,1.25
